Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Arizona Diamondbacks,2080145,25681,26.6,27.1,105,105,0,2,8,$64434000,3:10,34,21,61%,Hale
Atlanta Braves,2001392,24709,28.8,26.6,97,98,0,1,13,$104037500,2:55,46,22,47%,González
Chicago Cubs,2919122,36039,26.9,29.3,98,97,0,2,18,$115306610,3:02,48,28,58%,Maddon
Cincinnati Reds,2419506,29870,29.5,27.3,100,101,0,2,13,$111572286,3:02,33,20,60%,Price
Colorado Rockies,2506789,30948,28.0,28.7,118,118,0,3,8,$96438600,3:06,47,25,53%,Weiss
Los Angeles Dodgers,3764815,46479,29.5,28.1,95,94,0,5,16,$265140429,3:03,41,17,41%,Mattingly
Miami Marlins,1752235,21633,27.9,27.3,96,97,0,2,12,$71231500,2:51,31,19,61%,Redmond and Jennings
Milwaukee Brewers,2542558,31390,28.1,28.4,100,101,0,2,13,$70869500,3:01,30,16,53%,Roenicke and Counsell
New York Mets,2569753,31725,28.6,28.2,97,97,0,1,13,$98874473,2:56,35,19,54%,Collins
Philadelphia Phillies,1831080,22606,28.0,28.5,97,98,0,1,11,$103082167,2:58,38,24,63%,Sandberg and Mackanin
Pittsburgh Pirates,2498596,30847,28.2,29.6,99,99,0,4,15,$104457499,3:06,44,25,56%,Hurdle
San Diego Padres,2459752,30367,27.6,29.1,95,95,0,1,8,$125203700,3:01,43,19,44%,Black Roberts and Murphy
San Francisco Giants,3375882,41678,28.9,31.5,99,98,0,4,13,$180018166,3:02,38,21,55%,Bochy
St. Louis Cardinals,3520889,43468,28.4,28.2,101,100,0,6,14,$128241500,2:59,31,16,51%,Matheny
Washington Nationals,2619843,32344,28.4,28.6,102,101,0,2,16,$176496372,2:54,29,12,41%,Williams
