Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Arizona Diamondbacks,2134375,26350,28.3,28.7,108,108,0,4,11,$106580200,3:09,32,16,50%,Lovullo
Atlanta Braves,2505252,30929,28.6,29.4,100,100,0,1,14,$119705250,3:04,47,19,40%,Snitker
Chicago Cubs,3199562,39501,27.1,30.8,103,101,0,1,18,$177210667,3:09,53,28,52%,Maddon
Cincinnati Reds,1836917,22678,27.2,27.6,101,103,0,2,10,$79315786,3:03,38,19,50%,Price
Colorado Rockies,2953650,36465,28.3,27.0,117,116,0,4,12,$106650000,3:11,38,16,42%,Black
Los Angeles Dodgers,3765856,46492,27.9,29.7,96,95,0,6,20,$201466263,3:11,36,23,63%,Roberts
Miami Marlins,1583014,20295,28.3,28.7,90,91,0,2,10,$111591100,3:06,35,18,51%,Mattingly
Milwaukee Brewers,2627705,31282,27.4,28.3,101,101,0,1,10,$68439300,3:10,43,17,39%,Counsell
New York Mets,2460622,30378,28.9,27.5,94,95,0,1,13,$176615252,3:09,39,23,58%,Collins
Philadelphia Phillies,1905354,23523,26.6,26.8,98,99,0,1,7,$86276000,3:08,29,17,58%,Mackanin
Pittsburgh Pirates,1919447,23697,28.2,27.1,97,98,0,1,10,$102953333,3:07,49,31,63%,Hurdle
San Diego Padres,2138491,26401,26.2,27.7,95,97,0,1,7,$49248767,3:00,42,17,40%,Green
San Francisco Giants,3303652,40786,29.5,28.9,98,98,0,1,14,$177399833,3:04,31,19,61%,Bochy
St. Louis Cardinals,3448337,42572,28.0,28.3,98,97,0,2,15,$129652933,3:04,50,26,52%,Matheny
Washington Nationals,2524980,31173,29.2,30.1,104,103,0,5,15,$175587301,3:09,32,12,37%,Baker
